Frequenz - Plot 0	Amplitude - Plot 0
0	0
0	0,00067781
0	0,000457529
0	-6,42E-06
0	-0,000481124
0	0,000286357
1	0,000309722
1	0,000450405
1	0,000400919
1	0,000475019
1	0,000494368
1	0,000637794
1	0,000610806
1	0,000611543
1	0,000457522
2	0,000120092
2	6,29E-05
2	0,000108593
2	0,000141029
2	-0,000175652
2	-0,000103479
2	1,80E-05
2	5,16E-05
2	0,000224611
2	0,000230122
2	7,44E-05
3	4,54E-05
3	-0,000596314
3	7,57E-05
3	2,52E-05
3	0,000327762
3	0,000119319
3	7,53E-05
3	-8,86E-05
3	-0,000158167
4	-0,000125674
4	-0,000163178
4	-0,000236196
4	-0,00035531
4	-0,000380818
4	-0,000419494
4	-0,000469099
4	-0,00072992
4	-0,000763917
4	-0,000927023
4	-0,00109902
5	-0,00143073
5	-0,00165961
5	-0,00192059
5	-0,00217173
5	-0,00233962
5	-0,00241344
5	-0,00246764
5	-0,00238395
5	-0,00226766
6	-0,0021764
6	-0,00196286
6	-0,00171408
6	-0,00142829
6	-0,00115331
6	-0,000862012
6	-0,000585077
6	-0,000351848
6	-0,000108345
6	-5,63E-05
6	8,91E-05
7	7,09E-05
7	-4,27E-06
7	0,000205159
7	0,000183897
7	-6,28E-05
7	0,000100102
7	0,000362039
7	0,00058827
7	0,000550523
8	0,000533407
8	0,000556146
8	0,000637803
8	0,000744662
8	0,000810962
8	0,000841928
8	0,000789436
8	0,00076271
8	0,000735292
8	0,000663463
8	0,000636987
9	0,000870805
9	0,00102451
9	0,00113283
9	0,00115933
9	0,00149037
9	0,0017251
9	0,00197244
9	0,00202938
9	0,00191738
10	0,00190581
10	0,00200508
10	0,00189004
10	0,00143116
10	0,00238632
10	0,00241975
10	0,0024012
10	0,00234699
10	0,00231633
10	0,00197205
10	0,00147298
11	0,0012636
11	0,000909605
11	0,000937407
11	0,000812894
11	0,000927871
11	0,00140246
11	0,00202314
11	0,00276937
11	0,00386385
12	0,00384985
12	0,00410619
12	0,00409938
12	0,0043921
12	0,00431576
12	0,0037592
12	0,00310627
12	0,00234841
12	0,00165277
12	0,00100918
12	0,000313315
13	-1,33E-05
13	-0,000230129
13	-0,000251722
13	6,14E-06
13	0,00034246
13	0,000643522
13	0,000907042
13	0,00102661
13	0,00102653
14	0,00083131
14	0,000449501
14	5,99E-05
14	-0,000256829
14	-0,000518219
14	-0,00060661
14	-0,000360753
14	-9,39E-05
14	0,000324012
14	0,000650097
14	0,00103724
15	0,00104262
15	0,000679475
15	0,000328503
15	2,81E-05
15	-0,000264884
15	-0,000381105
15	-0,000402039
15	-1,27E-05
15	0,000192238
16	0,000373973
16	0,000367321
16	0,000134692
16	-0,000101983
16	-0,000125194
16	-0,000360834
16	-0,000429271
16	-0,00042518
16	-0,000428041
16	-0,000462973
16	-0,000407768
17	-0,000535341
17	-0,000451254
17	-0,000357138
17	-0,000257359
17	-3,31E-05
17	-3,87E-05
17	-5,53E-05
17	-0,000161186
17	-0,00027425
18	-0,000608492
18	-0,000861914
18	-0,00113467
18	-0,00143915
18	-0,00171398
18	-0,00177799
18	-0,00164305
18	-0,00145076
18	-0,00103769
18	-0,000483662
18	6,34E-05
19	0,00065559
19	0,00100476
19	0,00126853
19	0,00137607
19	0,00115783
19	0,000833727
19	0,000441323
19	-8,96E-05
19	-0,000499047
20	-0,000820655
20	-0,000802798
20	-0,000714683
20	-0,000520806
20	-0,000109283
20	-0,000155857
20	-8,46E-06
20	-0,000133078
20	-0,000142305
20	-0,000539816
20	-0,00087005
21	-0,00130157
21	-0,00159155
21	-0,00143841
21	-0,00124653
21	-0,00087642
21	-0,000628431
21	-0,000535499
21	-0,000569557
21	-0,00047848
22	-0,000636512
22	-0,000622759
22	-0,000790041
22	-0,00109333
22	-0,000986028
22	-0,00108397
22	-0,000795905
22	-0,000797014
22	-0,000782058
22	-0,000789781
22	-0,000743374
23	-0,000640334
23	-0,000670408
23	-0,000650906
23	-0,000684064
23	-0,000760386
23	-0,000825221
23	-0,000971054
23	-0,00111164
23	-0,00116548
24	-0,00124556
24	-0,00121544
24	-0,00127328
24	-0,00125982
24	-0,00123488
24	-0,00128184
24	-0,00127748
24	-0,00118065
24	-0,00115276
24	-0,00117063
24	-0,00112296
25	-0,00107266
25	-0,000969462
25	-0,000797234
25	-0,000562742
25	-0,000399567
25	-0,000615212
25	-0,000764139
25	-0,000896915
25	-0,000889457
26	-0,000894274
26	-0,000822172
26	-0,000948355
26	-0,000984327
26	-0,00101126
26	-0,00098818
26	-0,00101653
26	-0,00103022
26	-0,00105363
26	-0,00109241
26	-0,00109196
27	-0,00115006
27	-0,00123823
27	-0,00130341
27	-0,00131447
27	-0,00136909
27	-0,00144019
27	-0,0015082
27	-0,00151536
27	-0,00159848
28	-0,00162715
28	-0,00168439
28	-0,00176962
28	-0,00185955
28	-0,00190392
28	-0,00201609
28	-0,00206557
28	-0,00215434
28	-0,00227401
28	-0,00235482
28	-0,0024568
29	-0,00259658
29	-0,00265705
29	-0,00273349
29	-0,00285735
29	-0,00293538
29	-0,00310439
29	-0,00321114
29	-0,00331085
29	-0,00345292
30	-0,00357896
30	-0,00373377
30	-0,00386588
30	-0,00403077
30	-0,00415488
30	-0,00429493
30	-0,00444865
30	-0,00460799
30	-0,00474267
30	-0,0048679
30	-0,00505125
31	-0,00520186
31	-0,00533806
31	-0,00549142
31	-0,0056135
31	-0,00572179
31	-0,00584379
31	-0,00589216
31	-0,00604734
31	-0,0061262
32	-0,00623928
32	-0,00629542
32	-0,00632291
32	-0,00640377
32	-0,0064848
32	-0,00648077
32	-0,00647898
32	-0,0065211
32	-0,00651818
32	-0,0065166
32	-0,00645083
33	-0,00637702
33	-0,00628746
33	-0,00622172
33	-0,00610366
33	-0,00596331
33	-0,00585596
33	-0,00564434
33	-0,00546681
33	-0,0052483
34	-0,00497408
34	-0,00472414
34	-0,00445405
34	-0,00409281
34	-0,00370727
34	-0,00328147
34	-0,00286745
34	-0,00242009
34	-0,0019495
34	-0,00145815
34	-0,00100801
35	-0,00051435
35	-8,88E-05
35	0,000337695
35	0,00067198
35	0,000986486
35	0,00115261
35	0,00118064
35	0,00107097
35	0,000851478
36	0,00041163
36	-0,000211033
36	-0,000917021
36	-0,00179236
36	-0,0024773
36	-0,002673
36	-0,00201143
36	-0,0010923
36	-0,0010353
36	-0,00101634
36	-0,000980978
37	-0,00100027
37	-0,000847529
37	-0,000729389
37	-0,000682612
37	-0,000545855
37	-0,000405632
37	-0,000268304
37	-0,00015097
37	1,03E-05
38	0,000185016
38	0,000285041
38	0,000449576
38	0,000589532
38	0,000754605
38	0,000829699
38	0,000961693
38	0,000887804
38	0,000939287
38	0,000917739
38	0,000896194
39	0,00092806
39	0,000942741
39	0,000936539
39	0,000856623
39	0,000797674
39	0,000676204
39	0,000564201
39	0,000498632
39	0,000568622
40	0,000684925
40	0,000744713
40	0,000703545
40	0,000627335
40	0,000523394
40	0,00041298
40	0,000285695
40	0,000196578
40	0,000174551
40	0,00041587
40	0,000940681
41	0,000794267
41	0,000644198
41	0,000606661
41	0,000614331
41	0,000563992
41	0,000522791
41	0,000505226
41	0,00049805
41	0,00046584
42	0,000495072
42	0,000445488
42	0,000432717
42	0,000424965
42	0,000354422
42	0,000371314
42	0,000340683
42	0,000295316
42	0,000308951
42	0,000289667
42	0,000299069
43	0,000262911
43	0,000333065
43	0,00029967
43	0,000339465
43	0,000345017
43	0,000307797
43	0,000363529
43	0,000376042
43	0,000351845
44	0,000352076
44	0,000357896
44	0,000325445
44	0,000338205
44	0,000292419
44	0,000280135
44	0,000321429
44	0,000203976
44	0,000221883
44	0,000222577
44	0,000210972
45	0,00020724
45	0,000205658
45	0,000216205
45	0,000223127
45	0,000252256
45	0,000223313
45	0,000268995
45	0,000268211
45	0,000250313
46	0,000309543
46	0,000296969
46	0,000296408
46	0,000303495
46	0,000317177
46	0,00030703
46	0,000301299
46	0,000320127
46	0,000353595
46	0,000351746
46	0,000358404
47	0,000416566
47	0,000402588
47	0,000389387
47	0,000414851
47	0,00042258
47	0,000439644
47	0,000431844
47	0,00044478
47	0,0004568
48	0,000415316
48	0,00040929
48	0,00042774
48	0,000378105
48	0,000417027
48	0,00037886
48	0,000396736
48	0,000365384
48	0,000369336
48	0,00035526
48	0,000359857
49	0,000325568
49	0,000320758
49	0,000346452
49	0,000293227
49	0,000331827
49	0,000324773
49	0,000342575
49	0,000308345
49	0,00034439
50	0,000375028
50	0,000356751
50	0,000372077
50	0,000369172
50	0,000403269
50	0,000396637
