Frequenz - Plot 0	Amplitude - Plot 0
0	0,0407947
0	-0,000643201
0	-0,000100159
0	-0,000676812
0	-0,000552957
0	-0,000310494
1	-3,04E-06
1	4,69E-05
1	-0,000257859
1	0,000169503
1	3,98E-05
1	8,08E-05
1	0,000238042
1	0,000511672
1	0,000430452
2	0,000666075
2	0,000585671
2	0,000469454
2	0,000393215
2	0,00044403
2	0,000376927
2	0,000232994
2	0,000396008
2	0,000375019
2	0,000454967
2	0,000529306
3	0,00078931
3	0,000687724
3	-0,000187697
3	0,000346085
3	0,000389582
3	0,000709019
3	0,000756253
3	0,000758215
3	0,000774102
4	0,000798186
4	0,000934881
4	0,000816629
4	0,000879593
4	0,00105552
4	0,00095577
4	0,00100572
4	0,00103183
4	0,00104309
4	0,00121076
4	0,0011288
5	0,00113679
5	0,0010682
5	0,0009371
5	0,000592769
5	0,000351723
5	3,01E-05
5	-0,000344525
5	-0,000615718
5	-0,000972565
6	-0,0013292
6	-0,00164153
6	-0,00184701
6	-0,00201866
6	-0,00212313
6	-0,00211305
6	-0,0020207
6	-0,00201725
6	-0,00191366
6	-0,00177941
6	-0,00153283
7	-0,0014873
7	-0,0014598
7	-0,00146576
7	-0,00152268
7	-0,00163512
7	-0,0015731
7	-0,00145691
7	-0,0015344
7	-0,00145736
8	-0,00143456
8	-0,00147104
8	-0,00139743
8	-0,00116419
8	-0,0011523
8	-0,0011714
8	-0,00107349
8	-0,00105623
8	-0,00115875
8	-0,00125077
8	-0,00136402
9	-0,00130031
9	-0,00150648
9	-0,00170814
9	-0,00148393
9	-0,00143054
9	-0,0013307
9	-0,00116877
9	-0,000741305
9	-0,00027469
10	-0,000351491
10	-0,000948588
10	-0,000695922
10	-0,000664869
10	-0,00103417
10	-0,000388647
10	9,04E-06
10	0,000215583
10	0,000529729
10	0,000599332
10	0,000606982
11	0,000770725
11	0,000521906
11	5,81E-05
11	-0,000641075
11	-0,000938513
11	-0,00128014
11	-0,00147647
11	-0,00175925
11	-0,00111658
12	-0,000501526
12	0,000208446
12	0,00108926
12	0,00159391
12	0,00213133
12	0,00260717
12	0,00331054
12	0,00380473
12	0,00387769
12	0,00373978
12	0,00344045
13	0,00301598
13	0,00251097
13	0,00200943
13	0,00149949
13	0,00136216
13	0,00129569
13	0,00142576
13	0,00173784
13	0,00199092
14	0,00226559
14	0,0024331
14	0,00244143
14	0,00219408
14	0,00188588
14	0,00146827
14	0,00110683
14	0,000866095
14	0,000764202
14	0,000974859
14	0,0013252
15	0,00167669
15	0,00189376
15	0,00222617
15	0,00220575
15	0,00198583
15	0,00166687
15	0,00139729
15	0,0011356
15	0,0011679
16	0,00141022
16	0,00173903
16	0,00205605
16	0,00191738
16	0,00192495
16	0,00183576
16	0,00171526
16	0,00154925
16	0,00157662
16	0,00147388
16	0,00144708
17	0,0012919
17	0,00125903
17	0,00122925
17	0,00122895
17	0,00129538
17	0,00145644
17	0,00157105
17	0,00179454
17	0,00194286
18	0,0019563
18	0,001987
18	0,00184668
18	0,00165307
18	0,00124597
18	0,000809263
18	0,000321919
18	-6,79E-05
18	-0,000405424
18	-0,000629122
18	-0,000566957
19	-0,000310925
19	7,81E-05
19	0,000492593
19	0,00109028
19	0,00156052
19	0,00202196
19	0,00239264
19	0,00232811
19	0,00225222
20	0,00186371
20	0,00155258
20	0,00120504
20	0,00107373
20	0,00106739
20	0,00141846
20	0,00155832
20	0,00178077
20	0,00194923
20	0,00237643
20	0,00213369
21	0,00209012
21	0,00148943
21	0,00115455
21	0,000897183
21	0,000726983
21	0,000909474
21	0,00111876
21	0,00125612
21	0,0014093
22	0,00144013
22	0,00143502
22	0,00169727
22	0,00133682
22	0,00130258
22	0,00108779
22	0,00109324
22	0,00110667
22	0,00118402
